gender,age,interest,Impressions,Clicks,Spent,Approved_Conversion
M,35-39,41,1384,8,75.97865357014221,0
F,30-34,20,5638,53,330.06458655232916,1
F,45-49,36,1897,23,138.0273472993898,0
F,30-34,26,6901,77,208.13567057396122,2
M,35-39,28,7261,74,69.82856597323449,1
M,40-44,19,7915,78,739.3847376018224,2
M,35-39,24,3367,44,153.14133819706532,0
F,40-44,5,6861,67,315.20791334601796,1
F,30-34,35,214,0,0.0,0
F,35-39,1,7110,69,583.1038982555409,1
M,30-34,21,3107,33,25.16257960033425,2
F,30-34,31,4478,47,395.87687527724654,0
F,45-49,15,452,5,9.163538107428423,0
M,30-34,17,8655,81,722.7110846696715,1
M,35-39,4,8286,78,579.7615242660926,3
M,35-39,35,6399,56,115.60457965388632,1
M,35-39,29,4207,36,211.50975355793807,1
F,45-49,44,917,11,38.17258485012043,1
M,30-34,18,8260,92,201.77572844872395,1
M,40-44,22,414,6,51.97338536643318,0
F,45-49,33,7517,89,385.6784990818624,1
M,35-39,12,6621,60,257.169917188268,2
M,45-49,42,629,8,16.91138728530312,0
M,30-34,28,7724,78,322.85166597956203,1
M,35-39,35,8787,92,807.7931236914151,2
F,35-39,21,6518,77,304.1286517231687,2
M,40-44,46,4200,28,267.1265476249436,0
F,45-49,35,3089,40,379.5973816991872,1
F,35-39,8,4187,47,88.19725138073,0
M,40-44,38,502,7,15.291198359255883,0
F,30-34,50,6587,66,573.8966420980945,1
M,35-39,18,1431,14,59.237202216987654,1
M,35-39,37,8204,79,42.78267370339851,1
F,45-49,5,1517,9,27.91604058480922,1
F,40-44,46,2788,27,166.79183675466112,1
F,35-39,14,7622,65,526.0467339802802,0
M,30-34,19,9458,100,176.71918623859656,3
M,30-34,8,6797,65,100.75929252733407,0
F,30-34,31,930,14,129.63832292512012,2
M,35-39,3,3199,24,183.26182786354883,1
M,45-49,49,8326,85,518.7470276282984,1
F,35-39,17,7942,90,702.6547054465185,1
M,35-39,4,4194,33,150.94584226963116,0
F,30-34,19,1218,10,77.05329599436703,0
M,45-49,22,3179,35,141.12449459878314,0
F,40-44,10,3695,47,132.48822661794694,0
M,30-34,36,2576,28,207.91757006392965,1
F,40-44,21,3566,49,219.8574519992084,0
F,35-39,3,3417,35,343.8078871884598,2
M,30-34,28,7388,66,252.12720930717933,2
F,35-39,43,3605,43,398.0256512869404,1
F,35-39,33,5161,55,514.972931626299,2
F,30-34,12,6802,65,181.84419481248074,0
F,45-49,41,495,3,24.249303675258382,0
F,40-44,8,6414,61,281.4666757312755,1
F,40-44,41,3676,41,377.87588125622057,1
M,35-39,30,4066,45,214.9281265515646,1
M,35-39,6,3925,40,302.8354125881991,2
M,40-44,3,5547,68,335.66094631981343,4
M,35-39,18,6288,51,135.86946614287882,1
M,30-34,41,311,2,4.787652449949039,0
M,35-39,29,5042,47,213.45502823545831,0
F,40-44,30,4075,41,314.7651689070367,0
M,35-39,34,8333,73,456.11707497286176,2
M,30-34,20,4272,27,190.13341285948934,0
F,40-44,30,4225,34,108.1914112864174,0
M,30-34,18,9224,94,476.9217639401417,1
F,35-39,30,3493,29,26.730895499049588,1
M,30-34,31,5061,52,429.86101348331164,0
F,35-39,1,743,2,19.80795108255762,0
F,40-44,9,8397,82,357.95878978461866,0
M,35-39,1,1862,24,14.499712913991884,0
M,30-34,1,5774,46,97.19938348376401,0
F,45-49,23,1457,10,66.99005338628979,0
F,45-49,16,8082,89,562.013063541363,3
F,45-49,31,9458,77,614.8230423768254,0
F,30-34,15,1460,21,61.1498601867331,0
M,35-39,15,3547,43,333.4436375010043,1
M,45-49,45,4422,44,309.57732099689395,1
M,40-44,38,7444,86,306.73944463221,0
F,30-34,30,601,4,22.728549626164558,0
F,30-34,42,9418,98,186.11191571194217,6
M,35-39,23,4382,44,211.17196243607353,1
M,45-49,0,1047,10,88.71374725778588,0
M,35-39,10,4126,40,180.0527243336485,1
M,35-39,20,6149,66,559.4083249600897,1
F,30-34,3,5605,63,384.7666391079271,1
F,40-44,6,4102,35,81.29900710653362,1
F,40-44,25,5353,54,325.10750353002084,2
M,35-39,46,8168,79,419.24048853237616,0
M,40-44,49,6152,59,252.93846837757323,2
F,45-49,11,5540,49,80.18796959473073,0
F,30-34,30,8614,79,352.239852217346,1
F,35-39,16,5666,57,67.90082673375808,0
F,35-39,32,2298,20,28.76611976576274,0
F,40-44,10,898,13,57.865691817190424,1
F,35-39,27,6404,66,224.47418919422674,1
M,40-44,31,8745,85,789.8770431337455,0
M,40-44,0,8120,64,260.42912967120446,3
M,35-39,46,8944,80,615.972172774796,3
M,45-49,27,3675,34,188.2699510162964,1
